w,vector_uso
speaking,"[0, 2, 0, 6, 26, 14, 14, 5, 0, 0, 0, 0]",The Ship Who Sang
fluid,"[1, 0, 1, 6, 0, 2, 4]",The Ship Who Sang
ladies,"[0, 12, 0, 1, 1, 8, 0, 0]",The Ship Who Sang
No,"[50, 0, 0, 266, 0]",The Ship Who Sang
between,"[0, 83, 0]",The Ship Who Sang
matter,"[1, 53, 0, 25, 1, 7, 16, 29]",The Ship Who Sang
above,"[20, 0, 0, 0, 0]",The Ship Who Sang
use,"[0, 0, 9, 0, 0, 0, 1, 6, 0, 0, 11, 1, 5, 2, 6, 0, 7, 1, 3, 66, 0, 0, 7]",The Ship Who Sang
tape,"[0, 0, 0, 0, 0, 2, 0, 0, 19]",The Ship Who Sang
Worlds,"[11, 0, 8, 4, 0, 16, 1, 0, 1, 0, 11, 173, 0, 4, 20, 9, 22, 96, 35, 0, 0, 0]",The Ship Who Sang
anniversary,"[0, 1]",The Ship Who Sang
dirty,"[0, 2, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 4, 0, 1, 0, 9, 0, 0, 0, 0]",The Ship Who Sang
start,"[0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 3, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 3, 0, 0, 0, 0, 47, 0, 90, 0, 0, 0, 0, 19, 1, 169]",The Ship Who Sang
examine,"[0, 18, 3, 22, 24, 8, 1, 0, 102, 2, 5, 0, 0]",The Ship Who Sang
ordinary,"[10, 0, 8]",The Ship Who Sang
seventeen,"[0, 8, 0, 5]",The Ship Who Sang
away,"[9, 7, 29, 102, 40, 309, 497]",The Ship Who Sang
sheered,"[2, 2, 20, 0, 1, 4, 0, 1]",The Ship Who Sang
their,[],The Ship Who Sang
is,"[1, 12, 0, 21, 3, 6, 0, 26, 722, 6, 11, 0]",The Ship Who Sang
chose,"[3, 0, 80, 3, 4, 0]",The Ship Who Sang
year,"[0, 61, 12, 0]",The Ship Who Sang
concerti,[0],The Ship Who Sang
remembered,"[15, 0, 1, 65, 1, 0, 0, 5, 0, 0, 0]",The Ship Who Sang
titanium,"[1, 0, 0]",The Ship Who Sang
guided,"[43, 16, 0, 0, 0, 20, 37, 80, 5, 0, 0, 9, 2, 2, 0, 0, 73, 12]",The Ship Who Sang
bide,"[0, 1, 16]",The Ship Who Sang
Here,"[96, 0, 0, 12]",The Ship Who Sang
sounds,"[0, 1, 0, 30, 0, 0, 90, 25, 0, 11, 0]",The Ship Who Sang
Yes,[10],The Ship Who Sang
Which,[],The Ship Who Sang
at,"[0, 35, 580, 0]",The Ship Who Sang
struck,"[0, 0, 0, 21, 0, 0, 0, 0, 9, 1, 1, 0, 0, 6, 0, 1, 19, 0, 0, 20, 0, 1, 0, 0, 1, 0, 0, 0, 3, 80, 0, 7, 0]",The Ship Who Sang
atmosphere,"[0, 0, 0, 0, 26, 0, 0, 13, 0]",The Ship Who Sang
known,"[49, 0, 0, 0, 12, 26, 3, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 129, 0, 2, 0, 0, 8, 0, 49, 0, 0, 0, 5, 0]",The Ship Who Sang
Singing,"[0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 8, 0, 0, 0, 0, 0, 26, 0, 2]",The Ship Who Sang
were,"[1, 12, 0, 21, 3, 6, 0, 26, 722, 6, 11, 0]",The Ship Who Sang
being,"[1, 20, 12, 100, 2, 0, 3, 21, 6, 0, 26, 722, 6, 0, 11, 0]",The Ship Who Sang
personal,[25],The Ship Who Sang
say,"[34, 70, 0, 0, 0, 21, 0, 1, 12, 39, 0, 49, 0, 0]",The Ship Who Sang
approached,"[0, 11, 0, 0, 0, 0, 0, 0, 23, 0]",The Ship Who Sang
sight,"[4, 0, 12, 0, 12, 0, 0, 20, 0, 1, 0, 12, 1, 2, 0, 0, 0, 18, 0, 0, 17, 2, 0, 0, 1, 0, 0, 2, 3, 2, 4, 0, 0, 0]",The Ship Who Sang
scarcely,"[11, 7, 115, 4, 1]",The Ship Who Sang
cratered,[],The Ship Who Sang
peculiar,"[8, 3, 5, 24, 0, 0, 2, 6, 1, 20]",The Ship Who Sang
pin,"[0, 6, 0, 0, 0, 4, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0]",The Ship Who Sang
unconditionally,"[2, 0, 2]",The Ship Who Sang
resources,"[15, 0, 0]",The Ship Who Sang
name,"[0, 6, 113, 0, 21, 22, 0, 6, 3, 1, 0, 0, 0, 0, 25, 31, 0, 4, 9, 2, 3, 0, 0]",The Ship Who Sang
library,"[0, 0, 0, 3]",The Ship Who Sang
digesting,"[5, 0, 0, 6, 0, 0, 0, 2, 13, 19, 0, 3, 0, 0]",The Ship Who Sang
field,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 7, 1, 0, 2, 32, 0, 0, 34, 5, 0, 0, 0, 0, 1, 0, 24, 25, 0, 0, 0, 0]",The Ship Who Sang
decided,"[5, 6, 0, 1, 10, 1, 4, 0]",The Ship Who Sang
degree,"[37, 14, 0, 11, 22, 0, 12]",The Ship Who Sang
sealed,"[0, 42, 0, 0, 0, 1]",The Ship Who Sang
microscopic,"[0, 1]",The Ship Who Sang
attitude,"[18, 1, 0, 19]",The Ship Who Sang
worth,"[0, 0, 0, 18]",The Ship Who Sang
sitting,"[0, 12, 1, 8, 3, 0, 0, 12, 10, 0, 0, 0, 0, 9]",The Ship Who Sang
said,"[34, 70, 0, 316, 0, 0, 0, 21, 0, 1, 12, 39, 0, 49, 0, 0, 0]",The Ship Who Sang
take,"[7, 13, 3, 0, 113, 18, 0, 0, 5, 0, 3, 6, 14, 0, 1, 1, 1, 0, 16, 7, 5, 0, 20, 2, 9, 0, 492, 5, 0, 0, 3, 10, 1, 0, 5, 123, 5, 16, 1, 1, 0, 11, 7, 0, 4, 9, 1, 0, 0, 10, 6, 0, 0, 80, 20, 3, 2, 21, 24, 6, 0, 0, 2, 0, 22, 6, 4, 1, 17, 4, 5, 54]",The Ship Who Sang
Work,"[0, 9, 113, 18, 6, 2, 0, 0, 3, 1, 0, 6, 5, 127, 0, 0, 39, 0, 12, 0, 0, 0, 23, 0, 0, 43, 24, 0, 22, 13, 0, 90, 12, 37, 0, 0, 1, 1, 0, 3, 0]",The Ship Who Sang
Hello,"[0, 0, 0, 0, 0]",The Ship Who Sang
home,"[0, 72, 0, 0, 3, 0, 3, 0, 1, 0, 74, 0, 0, 4, 0, 0, 8, 54, 3, 52]",The Ship Who Sang
progressions,"[6, 1, 1, 0, 0, 0, 0, 3]",The Ship Who Sang
calmly,"[4, 0]",The Ship Who Sang
metallic,"[12, 2]",The Ship Who Sang
obvious,[11],The Ship Who Sang
As,"[147, 0, 0, 0, 0, 0, 0, 828, 0, 0, 0, 0, 0, 4, 0, 0, 2793, 0, 0, 69, 0, 0]",The Ship Who Sang
Even,"[103, 0, 0, 1, 1, 115, 14, 10, 8, 47, 0, 14]",The Ship Who Sang
one,"[321, 29, 0, 786, 0, 0, 0, 0, 24, 0, 0, 3, 0, 0, 5, 1, 0]",The Ship Who Sang
adjustable,[1],The Ship Who Sang
female,"[0, 6, 0]",The Ship Who Sang
Fine,"[0, 2, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",The Ship Who Sang
thrived,"[1, 0, 1, 0, 0, 0]",The Ship Who Sang
prolonged,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 4, 0, 0]",The Ship Who Sang
compute,"[0, 0, 0, 1, 0, 22, 0]",The Ship Who Sang
unfortunate,"[0, 1, 0]",The Ship Who Sang
difficulties,"[20, 0, 7]",The Ship Who Sang
Stall,"[0, 0, 0, 0, 0, 0, 19, 0, 2, 0, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
incensed,"[0, 0, 0, 1, 0, 0, 0, 0, 1]",The Ship Who Sang
quite,"[0, 28, 40, 0]",The Ship Who Sang
fair,"[0, 6, 15, 0, 9, 4, 0, 0, 0, 115, 0, 0, 10, 18, 0, 0, 0, 0]",The Ship Who Sang
class,"[39, 74, 0, 61, 18, 5, 0, 1, 0, 1, 0, 0, 0, 3, 52, 12, 0, 12]",The Ship Who Sang
Eileen,[],The Ship Who Sang
making,"[0, 0, 0, 113, 0, 9, 0, 0, 0, 26, 0, 18, 21, 0, 0, 0, 1, 35, 1, 0, 4, 1, 0, 0, 492, 0, 9, 0, 21, 0, 163, 0, 0, 0, 0, 127, 123, 39, 6, 0, 1, 31, 1, 0, 9, 0, 4, 11, 0, 1, 0, 0, 0, 80, 0, 16, 5, 3, 1, 8, 0, 51, 0, 0, 17, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
investigating,"[3, 3, 1, 0, 0, 2]",The Ship Who Sang
expectations,"[0, 2, 0, 5, 3, 2, 0]",The Ship Who Sang
certain,"[1, 42, 42]",The Ship Who Sang
assumed,"[6, 0, 0, 0, 0, 6, 0, 0, 9, 5, 7, 3, 0, 0, 0, 0, 6, 0, 0, 0, 1, 0, 80, 0, 0, 0, 0]",The Ship Who Sang
reasoning,"[0, 30, 4, 0, 5, 15, 4, 2, 0]",The Ship Who Sang
build,"[113, 0, 22, 0, 0, 0, 0, 0, 9, 1, 0, 0, 6, 0, 39, 0, 5, 0, 13, 6, 0, 3, 0]",The Ship Who Sang
proportions,"[3, 0, 2, 26, 0, 5]",The Ship Who Sang
vowel,"[0, 2]",The Ship Who Sang
et,[],The Ship Who Sang
remarked,"[0, 4, 9, 8, 9, 9, 0]",The Ship Who Sang
another,"[0, 61]",The Ship Who Sang
grabbing,"[0, 0, 3, 4, 0, 0]",The Ship Who Sang
removed,"[0, 21, 0, 0, 0, 102, 8, 12, 0, 0, 1, 0, 80, 2, 1, 5, 8, 1, 7]",The Ship Who Sang
couldn't,[],The Ship Who Sang
coloratura,"[1, 0]",The Ship Who Sang
prospective,[3],The Ship Who Sang
only,"[1, 13, 25, 11, 211, 0, 17, 0, 3, 115, 3, 409, 0, 3, 4]",The Ship Who Sang
each,"[0, 81, 0, 0, 0]",The Ship Who Sang
irritating,"[1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]",The Ship Who Sang
experimentation,"[4, 8]",The Ship Who Sang
found,"[3, 102, 8, 0, 1, 14, 8, 55, 3, 0, 2, 37, 7, 123, 0, 0, 0, 0, 0, 1, 59, 5, 1, 17, 21, 13, 1, 3, 7, 4, 3, 0, 1, 0, 0, 0]",The Ship Who Sang
rich,"[0, 0, 6, 0, 0, 15, 1, 13, 0, 3, 3, 1, 0]",The Ship Who Sang
I.Q.,"[1, 0, 1]",The Ship Who Sang
babies,"[0, 0, 0, 0, 17, 0, 0, 6, 0, 0, 3, 0, 17]",The Ship Who Sang
computation,"[1, 3, 1, 0, 0]",The Ship Who Sang
imagine,"[14, 0, 0, 0, 0, 65, 12, 0, 12]",The Ship Who Sang
Helva's,[],The Ship Who Sang
within,"[38, 25]",The Ship Who Sang
special,"[1, 5, 24, 6, 0, 10, 20]",The Ship Who Sang
optimism,[3],The Ship Who Sang
control,"[1, 0, 3, 2, 102, 0, 5, 4, 0, 1, 0, 9, 3, 0, 0, 0, 0, 6, 1, 4, 4, 0, 0, 38, 0, 0, 17, 0]",The Ship Who Sang
herself,[],The Ship Who Sang
logical,"[2, 2, 1, 3, 5, 0]",The Ship Who Sang
reproducing,"[0, 0, 0, 0]",The Ship Who Sang
instant,"[1, 0, 45, 0, 40, 2, 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 0, 1, 13]",The Ship Who Sang
took,"[7, 3, 0, 113, 18, 0, 0, 5, 0, 3, 6, 14, 0, 1, 1, 1, 0, 5, 7, 20, 2, 9, 0, 492, 5, 0, 0, 3, 10, 1, 0, 5, 123, 5, 16, 1, 1, 11, 7, 0, 4, 9, 1, 0, 0, 10, 0, 3, 80, 20, 2, 24, 21, 6, 0, 0, 2, 0, 22, 6, 4, 1, 17, 4, 5, 54]",The Ship Who Sang
elite,"[0, 0, 2]",The Ship Who Sang
color,"[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
Oh,"[0, 0, 2]",The Ship Who Sang
momentary,"[2, 1, 0, 0]",The Ship Who Sang
live,"[0, 49, 0, 26, 0, 16, 4, 0, 0, 0, 83, 0, 0, 0, 722, 129, 12, 2, 90, 5, 6, 0, 1]",The Ship Who Sang
worked,"[113, 18, 6, 2, 0, 3, 1, 0, 6, 5, 127, 0, 0, 39, 12, 0, 0, 23, 0, 0, 43, 0, 13, 22, 0, 90, 12, 37, 0, 0, 1, 1, 0, 3, 0]",The Ship Who Sang
sinuses,"[0, 0, 0]",The Ship Who Sang
screw,"[0, 0, 0, 0, 0, 12, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 129, 0, 1, 0, 0, 8, 0, 49, 0, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
flaky,"[0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",The Ship Who Sang
gurgle,"[0, 3, 4, 1, 0, 0]",The Ship Who Sang
?,[],The Ship Who Sang
adaptation,"[0, 0, 7, 1]",The Ship Who Sang
atom,"[0, 0, 3, 0, 24, 0]",The Ship Who Sang
feet,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0]",The Ship Who Sang
proportion,"[3, 0, 2, 26, 0, 5]",The Ship Who Sang
long,"[109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
died,"[0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0, 90, 0, 0, 0, 1, 3, 0]",The Ship Who Sang
could,[],The Ship Who Sang
we,[],The Ship Who Sang
ever,"[59, 46, 0, 0, 0]",The Ship Who Sang
inhumanities,"[0, 0, 0]",The Ship Who Sang
her,[],The Ship Who Sang
led,"[0, 5, 4, 0, 73, 0, 32, 16, 29, 12, 0, 8, 43, 80, 20, 27, 2, 90, 0, 0]",The Ship Who Sang
while,"[1, 1, 11, 77]",The Ship Who Sang
producing,"[12, 123, 12, 0, 16, 113, 0, 0, 3, 0, 0, 48, 4, 7]",The Ship Who Sang
hygiene,"[1, 0]",The Ship Who Sang
tour,"[0, 0, 0, 1, 90, 37, 3, 2, 1, 0]",The Ship Who Sang
head,"[0, 0, 0, 0, 12, 0, 5, 0, 1, 0, 0, 33, 0, 50, 73, 0, 0, 4, 0, 0, 0, 16, 0, 37, 0, 0, 0, 1, 0, 12, 7, 0, 0, 20, 0, 0, 0, 0, 14]",The Ship Who Sang
do,"[113, 1, 0, 0, 18, 25, 3, 0, 0, 0, 0, 0, 163, 46, 5, 6, 6, 0, 0, 0, 0, 3, 1, 9, 0, 22, 1, 84, 0, 0]",The Ship Who Sang
delicate,"[0, 0, 0, 2, 0, 2, 6]",The Ship Who Sang
faced,"[10, 0, 59, 62, 36, 0, 41]",The Ship Who Sang
without,[],The Ship Who Sang
waved,"[1, 7, 0, 0, 2, 1, 0, 0]",The Ship Who Sang
Any,"[14, 168, 0]",The Ship Who Sang
music,"[16, 1, 0]",The Ship Who Sang
rather,"[40, 1, 23, 0, 0, 0, 28, 3]",The Ship Who Sang
Instead,"[23, 0, 40, 0]",The Ship Who Sang
gentlemen,"[1, 6, 0, 173, 0]",The Ship Who Sang
man,"[1, 0, 49, 11, 0, 0, 8, 0, 11, 4, 7, 0, 0, 6, 0, 173, 0, 96, 0, 0, 0, 0]",The Ship Who Sang
role,"[47, 12, 66, 7, 11, 16, 0, 0, 6]",The Ship Who Sang
avocation,"[0, 1, 1, 0, 2, 1]",The Ship Who Sang
babes,"[3, 0, 6, 17]",The Ship Who Sang
picture,"[0, 1, 0, 13, 12, 0, 22, 0, 102, 0, 0, 0, 13, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 20, 44, 0, 4, 0, 2, 3, 1, 6, 0, 3, 0, 0]",The Ship Who Sang
better,"[0, 9, 0, 20, 0, 0, 1, 1, 0, 0, 134, 0, 1, 0, 1, 0, 8, 8, 24, 3, 0, 0, 5, 5, 0, 0, 7, 4, 82, 13, 57, 23, 2, 0, 5, 36, 0, 8, 0, 8, 84, 115, 25, 2, 0, 3, 0, 0]",The Ship Who Sang
delicate-beyond-description,[],The Ship Who Sang
lovely,"[0, 0, 0, 0, 3]",The Ship Who Sang
oxygen,"[0, 2, 4]",The Ship Who Sang
logically,[1],The Ship Who Sang
food,"[1, 13, 0, 0, 0]",The Ship Who Sang
manipulation,"[3, 66, 6]",The Ship Who Sang
committee,"[0, 6, 1]",The Ship Who Sang
unit,"[28, 5, 0, 0, 0]",The Ship Who Sang
It,"[0, 0]",The Ship Who Sang
encouraged,"[0, 1, 2, 0, 4, 18, 3]",The Ship Who Sang
necessary,"[0, 3, 18, 13, 4]",The Ship Who Sang
training,"[3, 0, 0, 17, 3, 19, 0, 1, 69, 0, 4, 1, 12, 0, 16, 5, 7, 6, 0, 2, 80, 9, 0, 1]",The Ship Who Sang
fear,"[0, 1, 0, 5, 10, 0, 1, 0, 0, 21, 3]",The Ship Who Sang
method,"[0, 11]",The Ship Who Sang
subject,"[5, 0, 0, 16, 7, 0, 1, 35, 5, 34, 0, 8, 29, 2, 24, 7, 7, 25, 0, 0, 38, 1]",The Ship Who Sang
unharmonious,"[0, 1]",The Ship Who Sang
first,"[0, 20, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 4, 0, 19, 1, 169, 0]",The Ship Who Sang
skin,"[0, 1, 0, 0, 5, 0, 0, 1, 0, 0, 6, 0, 0, 7, 0]",The Ship Who Sang
against,[],The Ship Who Sang
sir,"[3, 6]",The Ship Who Sang
considerable,[6],The Ship Who Sang
Master's,[],The Ship Who Sang
One,"[321, 29, 0, 786, 0, 0, 0, 0, 24, 0, 0, 3, 0, 0, 5, 1, 0]",The Ship Who Sang
same,"[0, 176, 3, 88, 0, 0, 0, 0]",The Ship Who Sang
became,"[123, 7, 90, 37, 33]",The Ship Who Sang
adjusted,"[0, 2, 0, 0, 4, 46, 0, 8, 0, 5, 0]",The Ship Who Sang
sub-conscious-level,[],The Ship Who Sang
than,[],The Ship Who Sang
various,"[4, 0, 0, 4, 41, 16]",The Ship Who Sang
eight,"[0, 0, 12, 0, 0, 0, 2, 0, 0, 0, 0, 13, 0]",The Ship Who Sang
law,"[24, 0, 0, 0, 0, 0, 20, 0, 0]",The Ship Who Sang
have,"[2, 49, 0, 113, 0, 3, 0, 0, 18, 6, 111, 492, 1, 0, 0, 123, 6, 6, 1, 51, 0, 0, 4, 4, 80, 2, 51, 17, 7]",The Ship Who Sang
section,"[0, 12, 1, 47, 0, 0, 0, 2, 3, 4]",The Ship Who Sang
Isolde,"[0, 1]",The Ship Who Sang
tools,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 1, 0]",The Ship Who Sang
discourse,"[0, 0, 8, 4, 2, 3, 0, 1, 2, 2]",The Ship Who Sang
got,"[0, 2, 49, 21, 0, 113, 18, 9, 0, 0, 3, 3, 18, 0, 0, 0, 12, 19, 0, 0, 6, 492, 0, 0, 3, 4, 55, 0, 2, 0, 0, 0, 12, 123, 0, 0, 0, 0, 0, 0, 1, 8, 11, 1, 0, 5, 0, 33, 51, 2, 0, 3, 1, 0, 1, 80, 23, 16, 0, 0, 6, 84, 90, 0, 0, 0, 19, 7, 0, 0]",The Ship Who Sang
Service,"[0, 9, 0, 0, 0, 0, 41, 19, 0, 0, 1, 0, 0, 3, 0, 0]",The Ship Who Sang
infant,"[3, 0, 17]",The Ship Who Sang
pituitary,"[0, 0, 2, 0]",The Ship Who Sang
actual,"[0, 4, 1, 10, 33, 2]",The Ship Who Sang
minute,"[40, 0, 24, 10, 15, 0, 0, 13, 5, 0, 45, 0]",The Ship Who Sang
little,"[3, 0, 1, 0, 0, 99, 3, 28, 0, 0, 67, 0, 0, 0]",The Ship Who Sang
Although,[],The Ship Who Sang
remained,"[13, 13, 16, 16, 2, 0]",The Ship Who Sang
ambulatory,"[0, 1]",The Ship Who Sang
group,"[30, 0, 0, 0, 0, 1]",The Ship Who Sang
case,"[0, 0, 18, 12, 6, 0, 0, 0, 0, 0, 62, 0, 23, 10, 0, 35, 0, 0, 1, 0, 0, 0, 0, 16, 7, 25, 0, 0, 8, 0, 0, 0]",The Ship Who Sang
since,[],The Ship Who Sang
pride,"[0, 6, 0, 1, 1]",The Ship Who Sang
collecting,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 3, 0, 2, 0, 0]",The Ship Who Sang
guys,"[0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]",The Ship Who Sang
Capellan,[],The Ship Who Sang
madam,"[0, 12, 1, 1, 0, 0]",The Ship Who Sang
Presley,"[0, 1, 0]",The Ship Who Sang
partner,"[0, 0, 0, 0, 8, 0, 0, 0]",The Ship Who Sang
you,[],The Ship Who Sang
The,[],The Ship Who Sang
nine,"[3, 0, 0, 0, 0, 0, 8, 0, 0, 11, 0]",The Ship Who Sang
felicitous,"[1, 19]",The Ship Who Sang
metal,"[0, 2, 12, 0]",The Ship Who Sang
basic,"[0, 0, 0, 0, 0, 19]",The Ship Who Sang
drawn,"[6, 24, 0, 14, 113, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 1, 123, 1, 4, 0, 0, 4, 0, 0, 12, 2, 7, 11, 43, 0, 0, 0, 4, 1, 5, 3, 0, 0, 0, 1, 5]",The Ship Who Sang
permanent,"[0, 5, 2, 0]",The Ship Who Sang
are,"[1, 12, 479, 0, 21, 3, 6, 0, 26, 722, 0, 6, 11, 0]",The Ship Who Sang
forget,"[9, 15, 1, 0, 0, 32]",The Ship Who Sang
voice,"[0, 0, 0, 30, 1, 47, 0, 0, 2, 25, 0, 0, 0, 0]",The Ship Who Sang
repairs,"[3, 0, 4, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0]",The Ship Who Sang
this,[],The Ship Who Sang
discovered,"[6, 102, 15, 0, 6, 8, 0, 0, 0, 0, 0, 0, 8, 55, 0, 0, 0, 0, 6, 0, 0, 0, 31, 1, 13, 0, 4, 2, 1, 0, 0, 0, 3, 2, 0, 4, 0, 12, 4, 0, 0]",The Ship Who Sang
vegetable,"[0, 0, 1]",The Ship Who Sang
panels,"[0, 0, 0, 0, 0, 0, 0, 0, 17, 2, 15]",The Ship Who Sang
his,[],The Ship Who Sang
chortled,"[0, 0, 0]",The Ship Who Sang
connected,"[0, 2, 0, 1, 0, 0, 8, 0, 0, 3, 0, 1, 0, 0, 0, 2, 0, 4]",The Ship Who Sang
Had,"[2, 49, 0, 113, 0, 3, 0, 18, 6, 111, 492, 1, 0, 0, 123, 6, 6, 1, 51, 0, 4, 4, 80, 2, 51, 17, 7]",The Ship Who Sang
perhaps,"[13, 0, 0, 13, 18, 0]",The Ship Who Sang
fourteen,"[3, 0, 12, 0]",The Ship Who Sang
activated,"[0, 0, 3, 0, 0, 0, 0, 7, 0, 12, 1, 4]",The Ship Who Sang
hobby,"[0, 1, 0, 1, 0, 0, 2, 0, 1]",The Ship Who Sang
extraterrestrial,"[7, 1, 0]",The Ship Who Sang
excessively,"[1, 0, 0, 118]",The Ship Who Sang
surprise,"[0, 13, 4]",The Ship Who Sang
audio,"[0, 1, 25, 0, 0]",The Ship Who Sang
age,"[0, 0, 0, 133, 0, 33, 2, 0, 0, 0, 0]",The Ship Who Sang
By,"[40, 497, 7, 39]",The Ship Who Sang
exposed,"[1, 2, 1, 0, 0, 0, 0, 6, 0, 0, 2, 13, 0, 0, 0, 3, 2, 6, 0, 0, 0, 38]",The Ship Who Sang
children,"[0, 0, 0, 17, 1, 0, 0, 4, 1, 4, 0, 0, 17]",The Ship Who Sang
informed,"[11, 1]",The Ship Who Sang
asked,"[5, 15, 0, 80, 1, 0, 0, 6, 22, 14, 0, 54]",The Ship Who Sang
position,"[51, 72, 0, 43, 1, 0, 1, 19, 1, 29, 0, 46, 7, 0, 4, 1, 17, 16, 4, 18, 0, 0, 6, 0, 61, 0, 0, 0]",The Ship Who Sang
she,[],The Ship Who Sang
its,"[0, 0]",The Ship Who Sang
alien,"[7, 0, 5, 1, 0, 7, 1, 0, 0, 1, 0, 0, 5]",The Ship Who Sang
instruction,"[4, 3, 0, 0, 8, 2, 0, 19, 0, 8]",The Ship Who Sang
function,"[1, 6, 0, 0, 6, 3, 11, 127, 1, 7, 5, 16, 0, 0, 43, 9, 0, 47, 0, 66, 90, 0, 0, 5]",The Ship Who Sang
off,"[9, 54, 0, 0, 102, 1, 2, 0, 40, 7, 21, 0, 1]",The Ship Who Sang
proper,"[84, 9]",The Ship Who Sang
angels,"[5, 0, 0, 0, 4, 0, 4]",The Ship Who Sang
missions,"[1, 0, 9, 0, 0, 0, 0, 1, 8, 0, 0]",The Ship Who Sang
atomic,"[11, 13]",The Ship Who Sang
situations,"[7, 72, 1, 43, 6, 0, 16, 0, 19, 2]",The Ship Who Sang
by-passing,[],The Ship Who Sang
anesthetically,[],The Ship Who Sang
visual,"[0, 2, 0, 0]",The Ship Who Sang
over,"[0, 0, 0, 163, 1, 22, 6]",The Ship Who Sang
results,"[8, 0, 20, 0, 6, 5, 6, 25, 27, 0, 32, 0, 8, 27, 0, 16, 10, 1]",The Ship Who Sang
breathe,"[0, 0, 0, 0, 16, 0, 2, 0, 0]",The Ship Who Sang
fingernails,[0],The Ship Who Sang
smaller,"[0, 3, 0, 0, 4, 4, 4, 0, 1, 20, 0, 12, 67, 0, 99]",The Ship Who Sang
diaphragms,"[0, 18, 0, 0, 0]",The Ship Who Sang
schooled,"[0, 69, 7, 0, 0, 1]",The Ship Who Sang
work,"[0, 9, 113, 18, 6, 2, 0, 0, 3, 1, 0, 6, 5, 127, 0, 0, 39, 0, 12, 0, 0, 0, 23, 0, 0, 43, 24, 0, 22, 13, 0, 90, 12, 37, 0, 0, 1, 1, 0, 3, 0]",The Ship Who Sang
Breath,"[0, 0, 8, 0, 0, 0, 0, 0]",The Ship Who Sang
shock,"[6, 0, 0, 0, 3, 1, 1, 2, 0, 0, 7, 0, 2, 0, 0, 3, 0, 0, 0, 0, 23, 0, 0, 0, 1]",The Ship Who Sang
board,"[0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 1, 0, 26, 0, 2, 15]",The Ship Who Sang
curious,"[8, 3, 5, 0, 0, 2, 6, 1]",The Ship Who Sang
began,"[123, 0, 0, 0, 8, 0, 0, 0, 19]",The Ship Who Sang
perspective,"[0, 17, 19, 4]",The Ship Who Sang
But,"[25, 11, 211, 115, 409]",The Ship Who Sang
deformities,"[0, 0, 0, 0, 0]",The Ship Who Sang
propulsion,"[2, 0]",The Ship Who Sang
thought,"[0, 0, 31, 12, 15, 1, 0, 4, 12, 31, 0, 0, 0, 0, 5, 2, 37, 0, 17, 67, 1, 10, 14, 0, 15, 65, 0, 0, 0, 0]",The Ship Who Sang
then,"[177, 0, 0, 228]",The Ship Who Sang
scanners,"[0, 0, 0, 0]",The Ship Who Sang
doses,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 8, 0, 0, 21, 0, 1, 0]",The Ship Who Sang
