w,vector_uso
field,"[0, 0, 1, 0, 1, 24, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 34, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 2, 32, 0, 0]",Letters to the Editor
",",[],Letters to the Editor
analysis,"[0, 0, 7, 4]",Letters to the Editor
allowing,"[0, 3, 10, 10, 1, 0, 51, 0, 1, 12, 0, 0, 32, 16, 0, 6]",Letters to the Editor
being,"[21, 20, 12, 1, 11, 722, 6, 0, 26, 0, 100, 0, 2, 0, 6, 3]",Letters to the Editor
grudgingly,[2],Letters to the Editor
hoped,"[22, 0, 0, 16, 7, 0, 0]",Letters to the Editor
casts,"[3, 0, 6, 2, 5, 1, 0, 0, 0, 0, 0, 3, 0, 9, 0, 0, 13, 1, 6, 0, 0, 0, 2, 0, 39, 0, 51, 0, 1, 0, 0, 0, 4, 0, 0, 7, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 21, 9, 0, 3]",Letters to the Editor
protection,"[5, 0, 0, 2, 0, 0, 0, 6, 3]",Letters to the Editor
L.,[],Letters to the Editor
material,"[0, 0, 2, 0, 1, 33, 5, 16]",Letters to the Editor
blackout,"[0, 0, 0, 0, 0]",Letters to the Editor
cannot,[],Letters to the Editor
yellow,"[0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]",Letters to the Editor
abused,"[0, 12, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0]",Letters to the Editor
list,"[31, 21, 2, 42, 1, 2, 1, 1, 2]",Letters to the Editor
P.M.,"[2, 2, 0]",Letters to the Editor
year,"[61, 0, 12, 0]",Letters to the Editor
Representatives,"[1, 23, 0, 2, 10, 0, 1, 30, 0]",Letters to the Editor
shades,"[0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 0, 0, 0, 0]",Letters to the Editor
Life,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 33, 98, 0, 14]",Letters to the Editor
King,"[58, 0, 0, 0, 0, 2, 0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0]",Letters to the Editor
blind,"[2, 2, 7, 0, 0, 0]",Letters to the Editor
absurdity,"[0, 1, 0, 0, 0, 0]",Letters to the Editor
deal,"[0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 2, 12, 0, 2, 4, 0, 4, 3, 0, 3, 8, 0, 0, 10, 0, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 12, 1, 0, 0, 0, 2, 50, 4, 0, 0, 6, 0, 0, 0, 21, 20, 0, 0, 18, 2, 0, 17, 80, 10, 16, 1]",Letters to the Editor
11,"[0, 0, 5, 9]",Letters to the Editor
Personally,"[3, 0]",Letters to the Editor
somewhat,"[0, 0, 0, 3, 12, 19, 0, 17, 6, 0]",Letters to the Editor
submits,"[0, 0, 0, 25, 1, 49, 0, 36, 0, 80, 0, 1, 0, 0, 0, 5, 1]",Letters to the Editor
him,[],Letters to the Editor
rounding,"[3, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0]",Letters to the Editor
Wisconsin,"[0, 5, 0, 0]",Letters to the Editor
apply,"[0, 0, 0, 51, 1, 6, 0, 0, 0, 66, 0, 17, 7]",Letters to the Editor
confronts,"[0, 0, 36, 62]",Letters to the Editor
interesting,"[9, 5, 0, 1, 33, 8]",Letters to the Editor
men,"[63, 0, 0, 0, 7, 0, 0, 173, 6, 0, 0, 4, 0, 0, 11, 0, 8, 96, 0, 11, 0, 0, 49, 0, 0, 1, 51]",Letters to the Editor
summary,"[0, 0, 0, 0, 0, 1]",Letters to the Editor
Yet,"[0, 1, 0, 6, 0, 0, 0, 0, 47, 3, 0, 35, 0, 115, 0, 103, 1, 0, 0]",Letters to the Editor
relevant,[1],Letters to the Editor
reporter,"[0, 0, 5]",Letters to the Editor
presents,"[3, 0, 0, 0, 44, 0, 62, 51, 11, 36, 0, 6, 2, 5, 3, 2, 6, 6, 0, 2, 0, 0]",Letters to the Editor
Amory,[],Letters to the Editor
focus,"[0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 0, 2, 0, 5, 0, 0, 0, 23]",Letters to the Editor
my,[],Letters to the Editor
dispute,"[0, 0, 0, 0, 3, 16, 0, 7, 1, 2, 0]",Letters to the Editor
Public,"[96, 35, 0]",Letters to the Editor
there,"[0, 0, 0, 0, 276, 0]",Letters to the Editor
corruptible,"[2, 0, 0, 0, 1]",Letters to the Editor
several,"[16, 4, 41]",Letters to the Editor
autobiographical,"[0, 0]",Letters to the Editor
press,"[10, 0, 1, 3, 1, 0, 0, 0, 0, 1, 5, 8, 1, 0, 0, 0, 10, 0, 5, 0, 4, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 11, 0, 0, 4, 2, 0]",Letters to the Editor
his,[],Letters to the Editor
bothers,"[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 32, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Letters to the Editor
series,"[0, 4, 0]",Letters to the Editor
1,"[0, 5, 24, 29, 786, 3, 321, 1]",Letters to the Editor
transcript,"[1, 3]",Letters to the Editor
intimately,"[1, 18, 4, 82]",Letters to the Editor
problems,"[39, 36, 20]",Letters to the Editor
accepted,"[2, 0, 0, 6, 0, 10, 9, 6, 11, 0, 0, 80, 492, 11, 0]",Letters to the Editor
invaluable,"[0, 0]",Letters to the Editor
programs,"[0, 0, 2, 0, 0, 0, 2, 27, 0, 15, 0, 0]",Letters to the Editor
on,"[839, 37]",Letters to the Editor
back,"[0, 0, 0, 0, 8, 0, 0, 0, 40, 0, 13, 1, 0, 162, 0, 1, 0, 0, 0, 2, 0, 0, 3, 13, 0, 5, 0, 0, 0, 0]",Letters to the Editor
had,"[7, 49, 4, 4, 0, 17, 1, 0, 1, 51, 51, 6, 2, 6, 0, 111, 0, 113, 18, 0, 3, 6, 123, 2, 0, 80, 492]",Letters to the Editor
abandoned,"[3, 1, 2, 0, 0, 5, 0, 0, 12, 4]",Letters to the Editor
should,[],Letters to the Editor
even,"[1, 1, 0, 115, 10, 14, 14, 47, 8, 103, 0, 0]",Letters to the Editor
die,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 2, 0, 11, 0, 13, 0, 0, 3, 12, 0, 0, 0, 0]",Letters to the Editor
experimenting,"[0, 8]",Letters to the Editor
Canada,[4],Letters to the Editor
disbanded,"[0, 0]",Letters to the Editor
Supplement,"[3, 0, 0, 0, 0, 1, 0, 0, 0, 0]",Letters to the Editor
left,"[1, 0, 0, 12, 2, 0, 0, 27, 20, 0, 0, 218, 51, 9, 0, 2, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32, 16]",Letters to the Editor
start,"[20, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 90, 0, 0, 0, 0, 169, 19, 0, 8, 0, 1, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 123, 0, 3, 1, 0]",Letters to the Editor
middle,"[0, 0, 0, 0, 0, 3, 0, 11, 15, 20, 23]",Letters to the Editor
glibly,"[0, 0]",Letters to the Editor
re-runs,[],Letters to the Editor
Angeles,[],Letters to the Editor
teaching,"[4, 19, 0, 4, 1, 3, 0, 4, 0, 0, 0]",Letters to the Editor
re-run,[],Letters to the Editor
Let,"[0, 0, 0, 5, 10, 0, 51, 1, 12, 0, 123, 1, 0, 492, 0]",Letters to the Editor
Robert,"[6, 0, 0]",Letters to the Editor
During,[],Letters to the Editor
apparently,"[2, 10, 7, 0, 0, 3, 3, 0, 9, 0]",Letters to the Editor
religion,"[0, 10, 0, 11]",Letters to the Editor
ways,"[3, 12, 27, 8, 8, 0, 15, 0, 6, 9, 0, 123, 0, 31, 2]",Letters to the Editor
last,"[3, 0, 7, 0, 0, 0, 2, 5, 2, 0, 0, 0, 0, 0, 0, 26, 90, 0, 27, 51, 18, 2, 69, 0, 0, 0, 83, 21, 0]",Letters to the Editor
edited,"[0, 20, 0, 0, 0, 0, 0, 0]",Letters to the Editor
reader,"[0, 0, 0, 0, 12, 0, 0]",Letters to the Editor
practitioners,"[0, 0]",Letters to the Editor
page,"[0, 2, 0, 2, 0, 0, 0, 0]",Letters to the Editor
distortion,"[1, 0, 0, 0, 0, 0, 1, 1, 0]",Letters to the Editor
party,"[15, 14, 0]",Letters to the Editor
am,"[0, 0, 0, 0, 0, 0, 3, 0, 12, 21, 6, 26, 0, 1, 0, 6, 0, 0, 11, 722]",Letters to the Editor
tea,"[0, 0, 0, 0, 0]",Letters to the Editor
during,[],Letters to the Editor
Lindemann,[],Letters to the Editor
valid,[4],Letters to the Editor
sad,"[3, 0, 0, 0, 1, 5]",Letters to the Editor
appears,"[0, 26, 3, 0, 59]",Letters to the Editor
while,"[77, 1, 11, 1]",Letters to the Editor
of,[],Letters to the Editor
read,"[19, 1, 17, 44, 1, 4, 70, 4, 21, 2, 80, 24]",Letters to the Editor
hold,"[0, 0, 1, 0, 1, 0, 2, 0, 17, 0, 0, 3, 12, 1, 51, 4, 0, 0, 0, 1, 1, 2, 0, 6, 0, 0, 0, 13, 1, 1, 1, 1, 5, 2, 5, 0, 0, 0, 0, 9, 0, 0, 113, 0, 3, 3, 80, 0, 1, 1, 4, 1, 492, 4, 0, 10, 6, 0, 3, 10, 38, 0, 0, 0, 0, 35, 2, 0, 6, 0, 0, 4, 10, 0, 7]",Letters to the Editor
existing,"[5, 2, 0, 722, 6, 26, 0]",Letters to the Editor
In,"[0, 0, 152, 0, 0, 2255, 1, 0, 2, 3]",Letters to the Editor
critical,"[5, 2, 4]",Letters to the Editor
reporters,"[0, 0, 5]",Letters to the Editor
instructors,"[2, 7]",Letters to the Editor
knows,"[0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 0, 26, 2, 0, 0, 49, 1, 8, 0, 0, 0, 0, 3, 0, 0, 0, 0, 129, 0, 0, 49]",Letters to the Editor
estate,"[3, 0, 0, 32, 0, 0, 8]",Letters to the Editor
actually,"[11, 40, 0]",Letters to the Editor
refresher,"[0, 0]",Letters to the Editor
sparks,"[3, 1, 0, 0, 0, 3, 0, 47, 1, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 0]",Letters to the Editor
copy,"[0, 0, 0, 0, 0, 1, 3]",Letters to the Editor
rebuttal,"[0, 0]",Letters to the Editor
think,"[0, 0, 37, 12, 15, 0, 0, 10, 5, 0, 0, 65, 12, 14, 0, 0, 0, 31, 2]",Letters to the Editor
made,"[1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 1, 17, 0, 163, 51, 0, 0, 6, 0, 0, 127, 21, 4, 0, 9, 39, 0, 117, 0, 31, 0, 4, 113, 0, 1, 3, 0, 1, 0, 0, 0, 0, 0, 18, 11, 9, 0, 0, 0, 26, 0, 1, 1, 5, 0, 0, 123, 0, 9, 0, 0, 0, 80, 492, 16]",Letters to the Editor
serve,"[0, 4, 25, 6, 1, 0, 163, 0, 0, 0, 1, 19, 41, 1, 12, 0, 9, 0]",Letters to the Editor
televised,"[0, 0]",Letters to the Editor
unjustifiable,"[0, 0, 1, 0, 0]",Letters to the Editor
us,"[0, 0, 0, 5, 0, 0, 0, 0, 3, 0, 17, 14, 0]",Letters to the Editor
relations,"[0, 9, 5, 0, 0, 1, 0, 13, 0, 8, 0, 0, 0, 0, 0, 0, 8]",Letters to the Editor
great,"[0, 30, 0, 0, 18, 0, 2, 0, 0, 0, 3, 0, 2, 0, 61, 53, 0, 4, 0, 0, 0, 5, 0, 1, 3]",Letters to the Editor
Confrontation,"[5, 1, 3, 0, 0]",Letters to the Editor
questions,"[0, 0, 0, 2, 73, 0, 0, 0, 0, 0, 0, 14, 3, 11, 6, 33, 0]",Letters to the Editor
long,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0]",Letters to the Editor
many,[94],Letters to the Editor
unscrupulous,[1],Letters to the Editor
critic,[3],Letters to the Editor
leadership,"[9, 11, 5]",Letters to the Editor
bring,"[1, 23, 0, 0, 1, 0, 4, 1, 123, 1, 9, 127, 32, 80, 0, 0, 18]",Letters to the Editor
),[],Letters to the Editor
beyond,[18],Letters to the Editor
encourage,"[2, 3, 0, 1, 18]",Letters to the Editor
raised,"[0, 8, 2, 3, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 0, 0, 0, 48, 3, 1, 0, 7, 1, 14, 0, 3, 0, 0, 0, 12, 1, 0, 16]",Letters to the Editor
might,"[81, 58, 0]",Letters to the Editor
late,"[8, 0, 11, 0, 33, 2, 30, 15, 0, 1, 1, 0, 15, 10]",Letters to the Editor
both,[76],Letters to the Editor
nation,"[0, 1, 0, 49, 28, 0, 0, 11, 32, 0]",Letters to the Editor
Times,"[1, 0, 3, 0, 188, 0, 0, 0, 0, 1, 29]",Letters to the Editor
attend,"[0, 4, 0, 102, 0, 1, 0, 3, 0, 0, 9, 59, 0]",Letters to the Editor
publishing,"[2, 0, 16, 14, 0, 0, 0, 0, 7]",Letters to the Editor
James,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15, 0, 0, 0, 10]",Letters to the Editor
fact,[74],Letters to the Editor
Eisenhower,"[2, 0, 0, 0, 0, 0]",Letters to the Editor
liabilities,"[0, 0, 1, 0]",Letters to the Editor
--,[],Letters to the Editor
detail,"[37, 20, 3, 6, 1]",Letters to the Editor
compared,"[1, 0, 0]",Letters to the Editor
minds,"[50, 73, 0, 0, 0, 1, 0, 0, 31, 0, 4, 0, 0, 0, 5, 14]",Letters to the Editor
confrontation,"[5, 1, 3, 0, 0]",Letters to the Editor
censored,"[0, 0, 1]",Letters to the Editor
subjected,"[5, 1, 25]",Letters to the Editor
clean,"[0, 0, 0, 18, 0, 0, 6, 0, 36, 47, 0, 0, 15, 0, 0, 1, 0, 8, 9, 0, 2, 4, 0, 26, 5, 0, 0]",Letters to the Editor
media,"[0, 0, 0, 21, 0, 9]",Letters to the Editor
chose,"[3, 0, 4, 3, 0, 80]",Letters to the Editor
gives,"[19, 0, 1, 0, 0, 1, 3, 13, 38, 17, 6, 19, 0, 51, 36, 0, 6, 0, 1, 0, 113, 0, 6, 3, 7, 1, 3, 6, 13, 10, 2, 0, 50, 11, 0, 0, 12, 4, 0, 32, 492, 1, 0]",Letters to the Editor
half-hour,"[0, 0]",Letters to the Editor
networks',[],Letters to the Editor
But,"[211, 25, 409, 115, 11]",Letters to the Editor
publication,"[2, 16, 0]",Letters to the Editor
calls,"[0, 0, 2, 0, 0, 7, 0, 12, 0, 4, 0, 8, 31, 1, 5, 1, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 0, 3, 25, 11, 0, 10, 0, 0, 9, 0]",Letters to the Editor
fancy,"[0, 13, 0, 6, 5, 4, 20, 10, 0, 1, 1, 0, 0, 22, 0, 102]",Letters to the Editor
will,"[0, 0, 218, 0, 32]",Letters to the Editor
saw,"[13, 6, 1, 0, 8, 0, 11, 1, 0, 4, 22, 0, 1, 0, 59, 0, 15, 0, 4, 0, 59, 10, 4, 0, 0, 8, 3, 0, 12, 0, 2, 0, 17, 0, 0, 7, 0, 0, 17, 1, 3, 55, 0, 0, 1, 0, 2, 7, 0, 0, 20, 38, 0, 0, 0, 6, 4, 49, 5, 102, 19]",Letters to the Editor
included,"[0, 10, 9, 9]",Letters to the Editor
Need,"[0, 0, 0, 8, 5, 54, 80, 0, 22, 6, 0, 0, 6, 14, 0, 51]",Letters to the Editor
distress,"[5, 2, 16, 0, 0]",Letters to the Editor
F.,[],Letters to the Editor
place,"[37, 1, 0, 0, 4, 0, 34, 7, 0, 3, 14, 46, 0, 7, 1, 29, 2, 0, 1, 10, 72, 10, 43, 51, 17, 6, 3, 0, 0, 1, 54, 0, 16, 4, 19, 16, 0, 12, 12, 0, 43, 21, 2]",Letters to the Editor
put,"[46, 3, 0, 19, 5, 4, 29, 0, 0, 0, 0, 1, 34, 1, 0, 72, 51]",Letters to the Editor
form,"[8, 0, 0, 4, 0, 5, 0, 0, 0, 22, 0, 3, 12, 19, 0, 0, 13, 0, 57, 10, 0, 6, 127, 1, 39, 0, 0, 0, 1, 113, 18, 1, 4, 3, 1, 0, 1, 74, 0, 0, 9, 0, 0, 12, 0, 0, 0, 0]",Letters to the Editor
meant,"[2, 0, 0, 1, 37, 0, 0, 65, 2]",Letters to the Editor
opinion,"[4, 0, 6, 1, 67, 0, 17, 1, 4, 3, 6, 1, 0, 23, 0, 0]",Letters to the Editor
no,"[0, 0, 266, 50, 0]",Letters to the Editor
said,"[0, 12, 49, 316, 70, 1, 0, 0, 21, 0, 0, 34, 0, 0, 39, 0, 0]",Letters to the Editor
described,"[24, 31, 4, 3, 14, 3, 6, 0, 0, 9, 2, 8, 0, 13, 6]",Letters to the Editor
until,[],Letters to the Editor
college,[16],Letters to the Editor
junior,"[3, 0, 0, 0, 32, 0]",Letters to the Editor
powerless,[0],Letters to the Editor
was,"[0, 12, 1, 11, 15, 6, 722, 0, 0, 26, 0, 21, 0, 6, 3]",Letters to the Editor
published,"[0, 16, 0, 14, 0, 0, 7, 0, 7]",Letters to the Editor
supposed,"[0, 1, 0, 0, 12, 0, 0, 0, 0, 65, 0, 0, 0, 0, 12, 0, 14, 10, 0, 3, 70, 0, 0, 0, 0]",Letters to the Editor
allowed,"[0, 3, 10, 10, 1, 0, 51, 0, 1, 12, 0, 0, 32, 16, 0, 6]",Letters to the Editor
prepublication,[],Letters to the Editor
statements,"[2, 3, 0, 4, 0, 0, 7, 8]",Letters to the Editor
Avenue,"[1, 0]",Letters to the Editor
date,"[0, 7, 0, 0, 3, 0, 0, 0, 0, 102]",Letters to the Editor
public,"[96, 35, 0]",Letters to the Editor
comparing,"[1, 1, 0, 0, 5]",Letters to the Editor
practice,"[8, 0, 163, 6, 0, 0, 7, 0, 66, 1, 5, 0, 0]",Letters to the Editor
thing,"[0, 53, 29]",Letters to the Editor
writing,"[4, 1, 14, 11, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3]",Letters to the Editor
can,"[0, 0, 1, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 3, 7, 0, 0, 1, 1, 0, 4, 29, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 38, 0, 0, 0, 12, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 235, 0, 0, 0]",Letters to the Editor
so,"[0, 3, 12, 22, 0, 17, 0, 177, 0, 228, 0, 0]",Letters to the Editor
Schweitzers,"[1, 0]",Letters to the Editor
proposes,"[6, 1, 0, 0, 2, 11, 11, 0, 3, 0, 5]",Letters to the Editor
``,[],Letters to the Editor
less,"[0, 0, 0, 68]",Letters to the Editor
between,"[83, 0, 0]",Letters to the Editor
strength,"[0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 14, 0]",Letters to the Editor
Committee,"[0, 1, 6]",Letters to the Editor
Nonsense,"[0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0]",Letters to the Editor
very,"[40, 1, 5, 33, 81, 0]",Letters to the Editor
rust,"[0, 0, 8, 0, 0, 1, 0]",Letters to the Editor
.,[],Letters to the Editor
courses,"[4, 2, 0, 4, 0, 12, 0, 74, 9, 43, 6, 24, 39, 12, 2]",Letters to the Editor
certainly,"[0, 0, 42, 16, 0, 9, 0]",Letters to the Editor
man,"[0, 0, 0, 7, 0, 173, 6, 0, 0, 4, 0, 0, 11, 8, 96, 0, 11, 0, 49, 0, 0, 1]",Letters to the Editor
mail,"[0, 0, 0, 1, 0, 0, 0, 0, 7, 10, 0, 0]",Letters to the Editor
However,"[1, 47, 0, 3, 6, 103, 35, 0, 0]",Letters to the Editor
found,"[0, 13, 7, 2, 0, 0, 1, 1, 8, 14, 3, 0, 1, 8, 59, 0, 17, 4, 3, 37, 1, 0, 0, 7, 1, 3, 3, 55, 0, 21, 0, 123, 0, 0, 5, 102]",Letters to the Editor
fair,"[0, 0, 10, 0, 0, 0, 0, 0, 4, 15, 9, 0, 115, 18, 0, 6, 0, 0]",Letters to the Editor
perverted,"[0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Letters to the Editor
combination,"[0, 0, 11]",Letters to the Editor
historians,"[0, 0]",Letters to the Editor
7,"[0, 0, 0, 0, 8, 0, 12, 0]",Letters to the Editor
could,[],Letters to the Editor
hopeless,[5],Letters to the Editor
each,"[81, 0, 0, 0, 0]",Letters to the Editor
first,"[20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 1, 169, 0, 19, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",Letters to the Editor
Feb.,[],Letters to the Editor
piece,"[0, 77, 24, 0, 1, 47, 0, 173, 0, 0, 0, 0, 0, 11, 0, 1, 9, 6, 0, 0, 0, 0, 1]",Letters to the Editor
from,[],Letters to the Editor
up,"[0, 4, 0, 3, 307, 0]",Letters to the Editor
method,"[0, 11]",Letters to the Editor
world,"[0, 1, 20, 9, 0, 0, 1, 0, 0, 173, 0, 16, 4, 1, 4, 0, 0, 8, 11, 96, 11, 0, 22, 35, 0, 0]",Letters to the Editor
radio,"[0, 0, 0, 0, 0, 9, 0]",Letters to the Editor
solution,"[25, 10, 0, 27, 4, 8]",Letters to the Editor
major,"[0, 0, 0, 1, 18]",Letters to the Editor
television,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Letters to the Editor
tale,"[4, 0, 0, 31, 0, 1, 0]",Letters to the Editor
volunteers,"[0, 0, 5, 0, 1, 11, 0]",Letters to the Editor
time,"[1, 0, 3, 188, 0, 0, 0, 0, 1]",Letters to the Editor
them,[],Letters to the Editor
reserve,"[1, 0, 12, 0, 0, 3, 4, 0, 0, 0, 12, 0, 0, 17, 0, 6]",Letters to the Editor
called,"[2, 0, 12, 4, 0, 8, 31, 1, 5, 1, 2, 0, 0, 0, 0, 0, 4, 6, 0, 11, 25, 10, 0, 0, 9, 0]",Letters to the Editor
say,"[12, 49, 70, 1, 0, 0, 21, 0, 0, 34, 0, 0, 39, 0]",Letters to the Editor
almost,"[23, 0, 0, 18, 66, 237, 3, 104]",Letters to the Editor
holds,"[0, 0, 1, 0, 1, 0, 2, 0, 17, 0, 0, 3, 12, 1, 51, 4, 0, 0, 0, 1, 1, 2, 0, 6, 0, 0, 0, 13, 1, 1, 1, 1, 5, 2, 5, 0, 0, 0, 0, 9, 0, 0, 113, 0, 3, 3, 80, 0, 1, 1, 4, 1, 492, 4, 0, 10, 6, 0, 3, 10, 38, 0, 0, 0, 0, 35, 2, 0, 6, 0, 0, 4, 10, 0, 7]",Letters to the Editor
journalists,"[0, 0, 0]",Letters to the Editor
50,"[0, 12, 0, 3]",Letters to the Editor
teachers,"[2, 7]",Letters to the Editor
leave,"[1, 0, 0, 12, 0, 27, 20, 0, 218, 51, 9, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 32, 16]",Letters to the Editor
whether,[],Letters to the Editor
believe,"[0, 10, 7, 31, 65]",Letters to the Editor
relationship,"[0, 8, 2, 0]",Letters to the Editor
ends,"[27, 51, 0, 3, 18, 83, 7, 3, 0, 69, 2, 3, 0, 0, 0, 4, 0, 7]",Letters to the Editor
times,"[1, 0, 3, 0, 188, 0, 0, 0, 0, 1, 29]",Letters to the Editor
tapes,"[0, 0, 3, 2, 0, 0, 0, 19, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 6, 1, 0]",Letters to the Editor
falsehoods,"[0, 0, 0, 0]",Letters to the Editor
destroyed,"[4, 0, 0, 0, 0, 2, 5]",Letters to the Editor
Thank,"[0, 0]",Letters to the Editor
aspect,"[12, 8, 3, 14, 0, 0, 0, 17, 1, 62, 59]",Letters to the Editor
has,"[7, 49, 4, 4, 0, 17, 1, 0, 0, 1, 51, 51, 6, 2, 6, 0, 111, 0, 113, 18, 0, 3, 6, 0, 123, 2, 0, 80, 492]",Letters to the Editor
and,[],Letters to the Editor
country,"[0, 0, 49, 28, 0, 11, 32, 32, 0]",Letters to the Editor
may,"[0, 0, 2, 167, 0, 0]",Letters to the Editor
sometimes,[18],Letters to the Editor
Interpretation,"[0, 0, 22, 7, 1, 10]",Letters to the Editor
letters,"[0, 22, 0, 8, 0, 0]",Letters to the Editor
Brinkley,[],Letters to the Editor
around,"[2, 0, 3, 0, 0, 237, 6, 0, 85, 182]",Letters to the Editor
doing,"[46, 163, 1, 3, 0, 0, 0, 0, 0, 22, 0, 9, 25, 113, 0, 6, 1, 5, 0, 0, 18, 84, 3, 6]",Letters to the Editor
did,"[46, 163, 1, 3, 0, 0, 0, 0, 0, 22, 0, 9, 25, 113, 0, 6, 1, 5, 0, 0, 18, 84, 3, 6]",Letters to the Editor
quote,"[0, 0, 2, 0, 0, 2]",Letters to the Editor
10:30,[],Letters to the Editor
also,"[121, 2, 3, 0, 118]",Letters to the Editor
become,"[33, 7, 123, 90, 37]",Letters to the Editor
me,"[0, 0, 0]",Letters to the Editor
shape,"[1, 8, 0, 0, 5, 0, 0, 1, 22, 3, 0, 12, 17, 13, 127, 0, 6, 39, 0, 1, 4, 3, 0, 0, 9, 0, 0, 0, 1, 0]",Letters to the Editor
let,"[0, 0, 0, 5, 10, 0, 51, 1, 12, 0, 123, 1, 0, 492, 0]",Letters to the Editor
instance,"[35, 23, 1, 2, 10, 1, 3]",Letters to the Editor
reading,"[1, 44, 1, 21, 0, 0, 24, 19, 0, 4, 22, 0, 17, 2, 0, 70, 0, 4, 7, 80, 10]",Letters to the Editor
retain,"[13, 0, 0, 35, 0, 0, 17]",Letters to the Editor
This,[],Letters to the Editor
C.,[],Letters to the Editor
estimation,"[3, 31, 1, 0, 0]",Letters to the Editor
Neck,"[18, 0, 0, 0]",Letters to the Editor
misled,"[0, 0, 0, 0, 0]",Letters to the Editor
it,"[0, 0]",Letters to the Editor
lectures,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 26, 0]",Letters to the Editor
attended,"[0, 4, 0, 102, 4, 0, 1, 0, 3, 2, 0, 0, 0, 9, 59, 0]",Letters to the Editor
another,"[0, 61]",Letters to the Editor
communicate,"[1, 0, 0, 0, 1, 0, 12, 0, 0]",Letters to the Editor
problem,"[39, 36, 20]",Letters to the Editor
snatches,"[0, 0, 0, 24, 2, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0]",Letters to the Editor
Editor's,[],Letters to the Editor
begin,"[0, 0, 0, 0, 0, 19, 123, 8, 0, 0, 0]",Letters to the Editor
gist,"[27, 0, 1, 2, 23, 0, 0, 0, 0, 0, 3, 0, 2, 5, 2, 6, 20, 0]",Letters to the Editor
official,"[0, 0, 6]",Letters to the Editor
military,"[0, 0, 0, 7, 0]",Letters to the Editor
revealed,"[0, 0, 3, 0, 0, 6, 0, 0, 0, 13, 0, 2, 1]",Letters to the Editor
actively,[0],Letters to the Editor
schools,"[0, 0, 0, 0, 1, 0, 0, 1, 7, 69, 0]",Letters to the Editor
something,[],Letters to the Editor
grey,"[0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",Letters to the Editor
